"top_product_name","top_details","bottom_product_name","bottom_details","label"
"BASIC BLAZER","Straight-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs.","STRAIGHT FIT JEANS","Straight-leg jeans with a five-pocket design. Faded with ripped details and a stain print on the legs.","1"
"BASIC BLAZER","Straight-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs.","GEOMETRIC JACQUARD JEANS","Straight fit jeans. Five pockets. Faded effect.","1"
"BASIC BLAZER","Straight-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs.","RELAXED-FIT RIPPED JEANS","Relaxed-fit jeans with a five-pocket design. Faded and ripped effect on the legs.","1"
"BASIC BLAZER","Straight-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs.","METALLIC-EFFECT JEANS","Straight fit jeans made of faded denim with an irregular metallic finish.","0"
"100% WOOL SUIT BLAZER","Blazer made of wool. Peak lapel collar and long sleeves with buttoned cuffs.","STRAIGHT FIT JEANS","Straight-leg jeans with a five-pocket design. Faded with ripped details and a stain print on the legs.","1"
"100% WOOL SUIT BLAZER","Blazer made of wool. Peak lapel collar and long sleeves with buttoned cuffs.","METALLIC-EFFECT JEANS","Straight fit jeans made of faded denim with an irregular metallic finish.","0"
"SLIM FIT SUIT BLAZER","Blazer with a notched lapel collar. Long sleeves with button details on the cuffs.","SLIM FIT JEANS","Slim fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.","1"
"SLIM FIT SUIT BLAZER","Blazer with a notched lapel collar. Long sleeves with button details on the cuffs.","RELAXED FIT PLEATED JEANS","Relaxed fit jeans. Waist with front pleats. Front pockets and rear patch pockets. Faded effect.","1"
"SLIM FIT SUIT BLAZER","Blazer with a notched lapel collar. Long sleeves with button details on the cuffs.","METALLIC-EFFECT JEANS","Straight fit jeans made of faded denim with an irregular metallic finish.","0"
"CHECKED SUIT BLAZER","Straight fit blazer with a notched lapel collar. Long sleeves with buttoned cuffs.","WIDE FIT JEANS","Faded wide fit jeans. Five pockets. Front zip fly and button fastening.","1"
"CHECKED SUIT BLAZER","Straight fit blazer with a notched lapel collar. Long sleeves with buttoned cuffs.","CROPPED SLIM JEANS","Cropped slim fit jeans. Five-pocket design. Faded and ripped detail on the legs.","1"
"CHECKED SUIT BLAZER","Straight fit blazer with a notched lapel collar. Long sleeves with buttoned cuffs.","METALLIC-EFFECT JEANS","Straight fit jeans made of faded denim with an irregular metallic finish.","0"
"BLAZER WITH POCKETS","Relaxed fit blazer with a pointed lapel collar, long sleeves with buttoned cuffs.","STRAIGHT FIT JEANS","Straight-leg jeans with a five-pocket design. Faded with ripped details and a stain print on the legs.","1"
"BLAZER WITH POCKETS","Relaxed fit blazer with a pointed lapel collar, long sleeves with buttoned cuffs.","GEOMETRIC JACQUARD JEANS","Straight fit jeans. Five pockets. Faded effect.","1"
"BLAZER WITH POCKETS","Relaxed fit blazer with a pointed lapel collar, long sleeves with buttoned cuffs.","METALLIC-EFFECT JEANS","Straight fit jeans made of faded denim with an irregular metallic finish.","0"
"100% LINEN SUIT BLAZER","Regular-fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs.","TAPERED FIT JEANS","Tapered fit jeans. Five pockets. Faded effect. Cropped length.","1"
"100% LINEN SUIT BLAZER","Regular-fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs.","WIDE FIT JEANS","Faded wide fit jeans. Five pockets. Front zip fly and button fastening.","1"
"100% LINEN SUIT BLAZER","Regular-fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs.","METALLIC-EFFECT JEANS","Straight fit jeans made of faded denim with an irregular metallic finish.","0"
"BASIC BLAZER","Straight-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs.","WIDE FIT JEANS","Faded wide fit jeans. Five pockets. Front zip fly and button fastening.","1"
"BASIC BLAZER","Straight-fit blazer with a notched lapel collar and long sleeves with buttoned cuffs.","CROPPED SLIM JEANS","Cropped slim fit jeans. Five-pocket design. Faded and ripped detail on the legs.","1"
"100% WOOL SUIT BLAZER","Blazer made of wool. Peak lapel collar and long sleeves with buttoned cuffs.","RELAXED-FIT RIPPED JEANS","Relaxed-fit jeans with a five-pocket design. Faded and ripped effect on the legs.","1"
"100% WOOL SUIT BLAZER","Blazer made of wool. Peak lapel collar and long sleeves with buttoned cuffs.","GEOMETRIC JACQUARD JEANS","Straight fit jeans. Five pockets. Faded effect.","1"
"100% WOOL SUIT BLAZER","Blazer made of wool. Peak lapel collar and long sleeves with buttoned cuffs.","METALLIC-EFFECT JEANS","Straight fit jeans made of faded denim with an irregular metallic finish.","0"
